Timestamp,RAM Usage (Bytes)
1719602389495,3028128
1719602389595,3076040
1719602389695,3076080
1719602389795,712016
1719602389895,1861456
1719602389995,3087584
1719602390095,1504024
1719602390195,2901328
1719602390295,3940016
1719602390395,3227576
1719602390495,5053328
1719602390595,5327560
1719602390695,4381264
1719602390795,6013872
1719602390895,4821056
1719602390995,3589064
1719602391095,5788704
1719602391195,6796040
1719602391295,4264024
1719602391395,6848600
1719602391495,5139880
1719602391595,6702392
1719602391695,5228216
1719602391795,6695608
1719602391895,7813624
1719602391995,6097392
1719602392095,8868816
1719602392195,4748472
1719602392295,4695512
1719602392395,7006232
1719602392499,5548312
1719602392599,4280608
1719602392699,8879240
1719602392799,5047248
1719602392899,4380280
1719602392999,8007144
1719602393099,6334264
1719602393199,7122576
1719602393299,8005392
1719602393399,7559552
1719602393499,7530368
1719602393599,6791144
1719602393699,6952976
1719602393799,6943632
1719602393899,6869048
1719602393999,7744928
1719602394099,5181544
1719602394199,5867488
1719602394299,5869536
1719602394399,5065224
1719602394499,9005144
1719602394599,5525808
1719602394699,5347896
1719602394799,5284016
1719602394899,7184208
1719602394999,4025976
1719602395099,4723600
1719602395199,8103216
1719602395299,6887616
1719602395399,6216392
1719602395499,6100152
1719602395599,7902208
1719602395699,8206704
1719602395799,4581944
1719602395899,5849944
1719602395999,8037008
1719602396099,7574160
1719602396199,6935240
1719602396299,7160696
1719602396399,4819328
1719602396499,8304960
1719602396599,6902672
1719602396699,8183384
1719602396799,5138896
1719602396899,9032480
1719602396999,6571096
1719602397099,7869352
1719602397199,8720520
1719602397299,9279944
1719602397399,5965480
1719602397499,9994792
1719602397599,7727704
1719602397699,6839104
1719602397799,6870424
1719602397899,7491600
1719602397999,9187304
1719602398099,7752432
1719602398199,9389520
1719602398299,8897728
1719602398399,9790720
1719602398499,6087344
1719602398599,5111480
1719602398699,9551144
1719602398803,9479520
1719602398923,9951368
1719602399023,7418368
1719602399123,8243432
1719602399223,6126536
1719602399323,6089168
1719602399423,8781632
1719602399523,10205784
1719602399623,8106232
1719602399723,7898312
1719602399823,10120912
1719602399923,7121048
1719602400023,9928824
1719602400123,9411896
1719602400223,10909216
1719602400323,9424096
1719602400423,10777640
1719602400523,10886128
