Timestamp,RAM Usage (Bytes)
1719570436055,391152
1719570436155,443976
1719570436259,444008
1719570436359,1281400
1719570436459,2291584
1719570436559,3386520
1719570436659,1819104
1719570436759,4611984
1719570436859,3491584
1719570436959,4657728
1719570437059,4940296
1719570437159,3140688
1719570437259,4696176
1719570437359,5943328
1719570437459,4547072
1719570437559,5768928
1719570437659,7019448
1719570437759,5801952
1719570437859,5033984
1719570437959,6337544
1719570438059,6284504
1719570438159,6645712
1719570438259,5734528
1719570438359,4410696
1719570438459,4618352
1719570438559,4235632
1719570438659,7616088
1719570438759,5442032
1719570438859,8237448
1719570438959,6391392
1719570439059,4495000
1719570439159,7626696
1719570439259,7402456
1719570439359,7619328
1719570439459,8100312
1719570439559,7910328
1719570439659,5845216
1719570439759,8054360
1719570439859,8325080
1719570439959,8057536
1719570440059,4809120
1719570440159,8213248
1719570440263,6444336
1719570440363,6680968
1719570440463,8447824
1719570440563,8617392
1719570440663,6794152
1719570440763,7150544
1719570440863,8493728
1719570440963,5926736
1719570441063,7143920
1719570441163,5644800
1719570441263,6918976
1719570441363,6103944
1719570441463,7821072
1719570441563,4803248
1719570441663,8809288
1719570441763,4667608
1719570441863,4795408
1719570441963,7234016
1719570442063,8974016
1719570442163,8453472
1719570442263,6989696
1719570442363,5497720
1719570442463,8018056
1719570442563,10397680
1719570442663,8540152
1719570442763,9724728
1719570442863,6264760
1719570442963,6378096
1719570443063,6884280
1719570443163,7011936
1719570443263,7328368
1719570443363,10607584
1719570443463,9952608
1719570443563,9565400
1719570443663,9666240
1719570443763,9118624
1719570443863,8033624
