Timestamp,RAM Usage (Bytes)
1719570593068,1678544
1719570593168,1731592
1719570593268,1731624
1719570593368,2359400
1719570593468,3576992
1719570593568,1783376
1719570593668,713176
1719570593768,3527232
1719570593868,3672624
1719570593972,4777416
1719570594072,5453176
1719570594172,5987192
1719570594272,5722456
1719570594372,4192176
1719570594472,5993304
1719570594572,5580448
1719570594672,6033792
1719570594772,3772184
1719570594872,5142736
1719570594972,4657992
1719570595072,6737008
1719570595172,5379496
1719570595272,6702960
1719570595372,6089952
1719570595472,4819288
1719570595572,6919072
1719570595672,6122152
1719570595772,5630872
1719570595872,4788592
1719570595972,5652736
1719570596072,8241992
1719570596172,5299264
1719570596272,6011056
1719570596372,8079072
1719570596472,7383960
1719570596572,4623000
1719570596672,6725584
1719570596772,8488144
1719570596872,8074552
1719570596972,8441912
1719570597072,5352280
1719570597172,8466784
1719570597272,5904016
1719570597372,5939792
1719570597472,7684280
1719570597572,7973672
1719570597672,8262328
1719570597772,7177576
1719570597872,6090200
1719570597972,8345592
1719570598072,6592640
1719570598172,6752384
1719570598272,7694288
1719570598372,9023024
1719570598472,6706960
1719570598572,8633032
1719570598672,8962776
1719570598772,6792040
1719570598872,8080104
1719570598972,7619472
1719570599072,9512176
1719570599172,6922616
1719570599272,8187816
1719570599372,10275520
1719570599472,10810416
1719570599572,9912976
1719570599672,10901064
1719570599772,8898008
1719570599872,11974488
1719570599972,16245136
1719570600072,19210456
1719570600180,24017464
1719570600280,18780032
