Timestamp,RAM Usage (Bytes)
1719613988924,2695384
1719613989024,1566720
1719613989124,2654656
1719613989224,2654720
1719613989324,1457552
1719613989424,2317752
1719613989524,4710976
1719613989624,3351120
1719613989724,7098440
1719613989824,5327824
1719613989924,4187096
1719613990024,4873280
1719613990124,3858008
1719613990224,7096584
1719613990324,4743896
1719613990424,3564416
1719613990524,6816952
1719613990624,4240112
1719613990724,5428664
1719613990824,7194232
1719613990924,5665352
1719613991024,5427392
1719613991124,5916312
1719613991224,5915880
1719613991324,5524256
1719613991424,6597320
1719613991524,7092888
1719613991624,6201408
1719613991724,6309328
1719613991824,4936920
1719613991924,5438144
1719613992024,5993168
1719613992124,7175504
1719613992224,6117872
1719613992324,4981208
1719613992424,6469616
1719613992524,6096936
1719613992624,6417576
1719613992724,6224000
1719613992824,5534096
1719613992924,5615808
1719613993024,5605792
1719613993124,6630528
1719613993224,6567144
1719613993324,6099600
1719613993424,6673888
1719613993524,7270064
1719613993624,6923544
1719613993724,6712776
1719613993824,7269168
1719613993924,7310472
1719613994024,5858632
1719613994124,7158632
1719613994224,7304632
1719613994324,5726992
1719613994424,6926840
1719613994524,6716040
1719613994624,6147440
1719613994724,5575592
1719613994824,4394008
1719613994924,7279168
1719613995024,5054472
1719613995124,6960872
1719613995224,6108440
1719613995324,7277368
1719613995424,5467608
1719613995524,6960456
1719613995624,6959928
1719613995724,4926872
1719613995824,6298784
1719613995924,6878304
1719613996024,5950832
1719613996124,5672192
1719613996224,4012936
1719613996324,3494936
1719613996424,6005128
1719613996524,6405328
1719613996624,6601328
1719613996724,4592736
1719613996824,6160192
1719613996924,3820440
1719613997024,4134208
1719613997124,5683760
1719613997224,5106760
1719613997324,3440032
1719613997424,6746712
1719613997524,4973640
1719613997624,6903744
1719613997724,6656376
1719613997824,5876960
1719613997924,7146584
1719613998024,5586680
1719613998124,4240240
1719613998224,4413808
1719613998324,3410392
1719613998424,7513576
1719613998524,6491304
1719613998624,6603008
1719613998724,5612952
1719613998824,6125768
1719613998924,5516848
1719613999024,6725664
1719613999124,7134936
1719613999224,4775120
1719613999324,5472376
1719613999424,6535128
1719613999524,8292520
1719613999624,6362432
1719613999724,5269256
1719613999824,7764144
1719613999924,6514960
1719614000024,4918880
1719614000124,7289624
1719614000224,8005216
1719614000324,5379016
1719614000424,6087488
1719614000524,7601640
1719614000624,7991752
1719614000724,7410832
1719614000824,4957216
1719614000924,4634272
1719614001024,8884736
1719614001124,4787584
1719614001224,5205048
1719614001324,6445992
1719614001424,7485288
1719614001524,6253384
1719614001624,7640752
1719614001724,7817816
1719614001824,5896624
1719614001924,7441488
1719614002024,8077120
1719614002124,4894584
1719614002224,7056784
1719614002324,7330008
1719614002424,4679648
1719614002524,9663408
1719614002624,7844792
1719614002724,10377248
1719614002824,8071728
1719614002924,9652464
1719614003024,9904072
1719614003124,5009920
1719614003224,11066208
1719614003324,10685928
1719614003424,6694608
1719614003524,8024664
1719614003624,9361784
1719614003724,7703200
1719614003824,4647720
1719614003924,6861768
1719614004024,8253976
1719614004124,7344000
1719614004224,8824072
1719614004324,10085144
1719614004424,10800736
1719614004524,6064920
1719614004624,7379576
1719614004724,4749832
1719614004824,7355776
1719614004924,11159880
1719614005024,11548488
1719614005124,10812944
1719614005224,10939448
1719614005324,8476560
1719614005424,7882160
1719614005524,9661344
1719614005624,5984888
1719614005724,6242920
1719614005824,6868232
1719614005924,11492024
1719614006024,6190408
1719614006124,6298536
1719614006224,7999056
1719614006324,9251912
1719614006424,12309736
1719614006524,10389672
1719614006624,5854528
1719614006724,8325568
1719614006824,8552232
1719614006924,8268160
1719614007024,5905112
1719614007124,7922296
1719614007224,9556280
1719614007324,8955808
1719614007424,9955968
1719614007524,8764584
1719614007624,9935272
1719614007724,11932368
1719614007824,11947128
1719614007924,7152944
1719614008024,6431920
1719614008124,5781872
1719614008224,9265128
1719614008324,8770856
1719614008424,12275112
1719614008524,13491872
1719614008624,7085512
1719614008724,8668456
1719614008824,6786168
1719614008924,9657456
1719614009024,8975336
1719614009124,5885944
1719614009224,4854840
1719614009324,10915184
1719614009424,12427432
1719614009524,8418896
1719614009624,10139728
1719614009724,11008392
1719614009828,12479928
1719614009928,5306912
1719614010028,8100176
1719614010128,9259304
1719614010228,9565024
1719614010328,9888024
1719614010428,8018280
1719614010528,9167400
1719614010628,5399488
1719614010728,11201224
1719614010828,7154632
1719614010928,10551696
1719614011028,4953136
1719614011132,13209016
1719614011232,9292584
1719614011332,9712840
1719614011432,11428184
1719614011532,8249160
1719614011632,11816280
1719614011732,13831112
1719614011832,8577136
1719614011932,7561688
1719614012032,11168736
1719614012132,10999144
1719614012232,8392000
1719614012332,4696184
1719614012432,12669760
1719614012532,5407248
1719614012632,7630840
1719614012732,4720088
1719614012832,10540304
1719614012932,9440984
1719614013032,10598584
1719614013132,9391568
1719614013232,7137656
1719614013332,8460784
1719614013432,13253040
1719614013532,12294552
1719614013632,8940728
1719614013732,11191488
1719614013832,7994576
1719614013932,13269560
1719614014032,11121592
1719614014132,12666680
1719614014232,12558472
1719614014332,10464784
1719614014432,8993848
1719614014532,9603248
1719614014632,10692496
1719614014732,9143040
1719614014832,11584592
1719614014932,9767320
1719614015032,9780184
1719614015132,9941256
1719614015232,12834776
1719614015332,8687872
1719614015432,8195360
1719614015532,10435392
1719614015632,14032616
1719614015736,16220272
1719614015836,11611192
1719614015936,8454208
1719614016036,8784976
1719614016136,11720512
1719614016236,12008800
1719614016336,8361144
1719614016436,11849976
1719614016536,10750424
1719614016636,10565040
1719614016736,12787752
1719614016836,13789016
1719614016936,11596928
1719614017036,4700296
1719614017136,8235184
1719614017236,9830496
1719614017336,13063064
1719614017436,12805056
1719614017536,8061616
1719614017636,8148080
1719614017736,5291248
1719614017836,12073416
1719614017936,9802568
1719614018036,10508376
1719614018136,9164272
1719614018236,10283824
1719614018336,13213592
1719614018436,13812560
1719614018536,14451992
1719614018636,14777240
1719614018736,10726952
1719614018836,10636808
1719614018936,5436144
1719614019036,9865672
1719614019136,14929264
1719614019236,8059976
1719614019336,15009040
1719614019436,8751784
1719614019536,16220312
1719614019636,11214328
1719614019736,11730912
1719614019836,10277904
1719614019936,15238264
1719614020036,10034344
1719614020136,13815528
1719614020236,15416720
1719614020336,15238432
1719614020436,7241088
1719614020536,5973800
1719614020636,11529880
1719614020736,14880696
1719614020836,14840592
1719614020936,6499248
1719614021036,11517168
1719614021136,13649808
1719614021236,12570616
1719614021336,8479432
1719614021436,9367264
1719614021536,9576536
1719614021636,16013144
1719614021736,16638064
1719614021836,15282968
1719614021936,5853768
1719614022036,14837760
1719614022136,12315520
1719614022236,12257800
1719614022336,11085744
1719614022436,8833176
1719614022536,14772576
1719614022636,14387864
1719614022736,11969080
1719614022836,10785000
1719614022936,9639784
1719614023036,8146136
1719614023136,12347552
1719614023236,9429320
1719614023336,7833104
1719614023436,11378096
1719614023536,10460088
1719614023636,9192328
1719614023736,11066920
1719614023836,9986776
1719614023936,10127376
1719614024036,15023216
