Timestamp,RAM Usage (Bytes)
1719602518784,2229960
1719602518888,2281208
1719602518988,2281248
1719602519092,2620120
1719602519192,1029928
1719602519292,2125088
1719602519392,750616
1719602519492,3274360
1719602519592,3772648
1719602519692,4365408
1719602519792,5116544
1719602519892,5849952
1719602519992,2620440
1719602520092,4899624
1719602520192,5973544
1719602520292,6670328
1719602520392,4025600
1719602520492,6605760
1719602520592,6543472
1719602520692,6606856
1719602520792,7126864
1719602520892,7070288
1719602520992,4985296
1719602521092,4559408
1719602521192,3922600
1719602521292,4653664
1719602521392,7159776
1719602521492,7768856
1719602521592,7546664
1719602521692,4303360
1719602521792,5637280
1719602521892,6601472
1719602521992,5451200
1719602522092,8538208
1719602522192,8057848
1719602522292,7334352
1719602522392,7778640
1719602522492,6057384
1719602522592,7335960
1719602522692,8259552
1719602522792,6227360
1719602522892,8121712
1719602522992,7943768
1719602523092,5401056
1719602523192,6841048
1719602523292,8306008
1719602523392,9110656
1719602523492,5704536
1719602523592,6060784
1719602523692,6136064
1719602523792,8314096
1719602523892,6814232
1719602523992,7838216
1719602524092,4710088
1719602524192,8592936
1719602524292,6812816
1719602524392,7519976
1719602524492,9856240
1719602524592,8432944
1719602524692,8439568
1719602524792,7975680
1719602524892,10040384
1719602524992,6980760
1719602525092,10747688
1719602525192,8616528
1719602525292,8917568
1719602525392,5451144
1719602525492,11108000
1719602525596,11342488
1719602525696,8701392
1719602525796,18615656
1719602525900,22486168
1719602526000,26639040
1719602526100,23518056
1719602526200,17307672
1719602526300,18225344
