Timestamp,RAM Usage (Bytes)
1719614286792,1331152
1719614286892,1380096
1719614286992,1380136
1719614287092,2019776
1719614287192,1821512
1719614287292,3046560
1719614287392,4520080
1719614287492,3389792
1719614287592,3480864
1719614287692,3387992
1719614287792,5302536
1719614287892,4863432
1719614287996,6234992
1719614288096,3332040
1719614288196,5052320
1719614288296,5564496
1719614288396,5818568
1719614288496,5779696
1719614288596,6022960
1719614288696,5876344
1719614288796,5946296
1719614288896,3809352
1719614288996,5705576
1719614289096,5422880
1719614289196,5896008
1719614289296,5423568
1719614289396,3016176
1719614289496,4745816
1719614289596,4026888
1719614289696,5419184
1719614289796,4188984
1719614289896,4111944
1719614289996,4917648
1719614290096,4797712
1719614290196,5013384
1719614290296,2912304
1719614290396,4823736
1719614290496,4517840
1719614290596,2666432
1719614290696,4176368
1719614290796,2753160
1719614290896,4848376
1719614290996,3097256
1719614291096,5390472
1719614291196,3135984
1719614291296,3893664
1719614291396,4989920
1719614291496,5032560
1719614291596,5281456
1719614291696,5108224
1719614291796,5107504
1719614291896,5117776
1719614291996,4065096
1719614292096,4877752
1719614292196,5111064
1719614292296,3170552
1719614292396,4764928
1719614292496,3947704
1719614292596,4228936
1719614292696,2543864
1719614292796,4290936
1719614292896,3432168
1719614292996,3999864
1719614293096,5349984
1719614293196,3469888
1719614293296,5988912
1719614293396,3076824
1719614293496,6018432
1719614293596,5395192
1719614293696,6132256
1719614293796,5149808
1719614293896,6589064
1719614293996,5647544
1719614294096,7091904
1719614294196,5711984
1719614294296,6667208
1719614294396,5460920
1719614294496,5927784
1719614294596,5229232
1719614294696,7177472
1719614294796,4372616
1719614294896,7831944
1719614294996,2627968
1719614295096,6065712
1719614295196,7559424
1719614295296,7017856
1719614295396,7046448
1719614295496,5942000
1719614295596,7230208
1719614295696,6891448
1719614295796,5547024
1719614295896,6966792
1719614295996,8370184
1719614296096,6521024
1719614296196,4387288
1719614296296,5826568
1719614296396,5603536
1719614296497,9332128
1719614296597,6302136
1719614296697,5572504
1719614296797,7075952
1719614296897,9285200
1719614296997,6552424
1719614297097,5349936
1719614297197,6792864
1719614297297,5878336
1719614297397,10964984
1719614297497,7355552
1719614297597,8954648
1719614297697,7311160
1719614297797,6107840
1719614297897,7230184
1719614297997,8190112
1719614298097,9408768
1719614298197,8515320
1719614298297,9112640
1719614298397,6761832
1719614298497,10693424
1719614298597,10720064
1719614298697,6970752
1719614298797,7361800
1719614298897,11440392
1719614298997,11083864
1719614299097,8645256
1719614299197,6469280
1719614299297,8493720
1719614299397,7723944
1719614299497,11688160
1719614299597,7965360
1719614299697,9878224
1719614299797,6537648
1719614299897,10420208
1719614299997,5867016
1719614300097,9822912
1719614300197,4335264
1719614300297,9767336
1719614300397,7790744
1719614300497,10260664
1719614300597,9461288
1719614300697,8647152
1719614300797,9064200
1719614300897,11450040
1719614300997,9698696
1719614301097,6854752
1719614301197,6483264
1719614301297,13250728
1719614301397,6296184
1719614301497,7468504
1719614301597,13021008
1719614301697,7355776
1719614301797,12784720
1719614301901,12468864
1719614302001,6320704
1719614302101,12593584
1719614302201,9657488
1719614302301,7615944
1719614302401,9862568
1719614302501,10271704
1719614302601,7994968
1719614302701,11408600
1719614302801,7519712
1719614302901,5993200
1719614303001,9660960
1719614303101,8696720
1719614303205,7800544
1719614303305,7524128
1719614303405,10265144
1719614303505,10047432
1719614303605,12856904
1719614303705,11095120
1719614303805,8246896
1719614303905,11238144
1719614304005,9680520
1719614304109,13838600
1719614304209,6237400
1719614304309,7040256
1719614304409,7694280
1719614304509,13689416
1719614304609,8100160
1719614304709,9076816
1719614304809,10470576
1719614304909,5316896
1719614305009,6132416
1719614305109,14902312
1719614305209,10048336
1719614305309,11843984
1719614305409,10122056
1719614305509,12740152
1719614305609,12023728
1719614305709,8664912
1719614305809,9743880
1719614305909,9719640
1719614306009,6989112
1719614306109,6664552
1719614306209,13891824
1719614306309,5164936
1719614306409,14839592
1719614306509,11384176
1719614306609,13684640
1719614306709,10694016
1719614306809,9688232
1719614306909,13326920
1719614307009,11445400
1719614307109,12403576
1719614307209,16373544
1719614307309,14049080
1719614307409,14496552
1719614307509,13690288
1719614307609,10155008
1719614307709,8219248
1719614307809,11891600
1719614307909,11636496
1719614308009,16578896
1719614308109,13038136
1719614308209,16981008
1719614308309,15360192
1719614308409,16531312
1719614308509,13171824
1719614308609,7680192
1719614308709,12593576
1719614308809,11532800
1719614308909,12367136
1719614309009,10332928
1719614309109,16435296
1719614309209,13940456
1719614309309,11654168
1719614309409,13364184
1719614309509,12597576
1719614309609,17540248
1719614309709,13164048
1719614309809,13610184
1719614309909,14519200
1719614310009,9410904
1719614310109,11718960
1719614310209,11590232
1719614310309,8237136
1719614310409,13453488
1719614310509,17733488
1719614310609,12102192
1719614310709,14276408
1719614310809,9263728
1719614310909,13192928
1719614311009,5289280
