Timestamp,RAM Usage (Bytes)
1719614208403,1087448
1719614208503,1140224
1719614208603,1140264
1719614208703,1741192
1719614208803,1398928
1719614208903,3648248
1719614209003,4121128
1719614209103,4809432
1719614209203,5268696
1719614209303,4190512
1719614209403,4995920
1719614209503,5892728
1719614209603,5420896
1719614209703,4826080
1719614209803,4140840
1719614209903,5681792
1719614210003,4153088
1719614210103,4417664
1719614210203,3900592
1719614210303,3552456
1719614210403,5700584
1719614210503,4309304
1719614210603,4406608
1719614210703,4354168
1719614210803,5676504
1719614210903,6220112
1719614211003,5411648
1719614211103,5444064
1719614211203,6013472
1719614211303,5094200
1719614211403,4266568
1719614211503,4755560
1719614211603,4099880
1719614211703,2973872
1719614211803,4912040
1719614211903,2482528
1719614212003,3660568
1719614212103,4098400
1719614212203,3759088
1719614212303,4273312
1719614212403,4808384
1719614212503,3433880
1719614212603,5130600
1719614212703,4830016
1719614212803,5375424
1719614212903,4702960
1719614213003,3281448
1719614213103,5331544
1719614213203,2811400
1719614213303,2752464
1719614213403,5307736
1719614213503,5110704
1719614213603,5155152
1719614213703,4630320
1719614213803,4344672
1719614213903,5522112
1719614214003,4596528
1719614214103,3795728
1719614214203,5547984
1719614214303,4754960
1719614214403,5181048
1719614214503,4612832
1719614214603,3677056
1719614214703,4648752
1719614214803,3009960
1719614214903,4981720
1719614215003,3329744
1719614215103,3370368
1719614215203,4864768
1719614215303,3831448
1719614215403,2741640
1719614215503,4883664
1719614215603,3653928
1719614215703,4819000
1719614215803,4217488
1719614215903,5405840
1719614216003,5903400
1719614216103,5311744
1719614216203,5037056
1719614216303,4009720
1719614216403,2601168
1719614216503,4311120
1719614216603,4860568
1719614216703,4819128
1719614216803,3092872
1719614216903,4368616
1719614217003,6545232
1719614217103,6288736
1719614217203,4726624
1719614217303,4546464
1719614217403,4987680
1719614217503,2788840
1719614217603,6667568
1719614217703,7073800
1719614217803,5623080
1719614217903,7796112
1719614218003,4814008
1719614218103,4418448
1719614218203,5302176
1719614218303,5934000
1719614218403,4810896
1719614218503,6005424
1719614218603,6850216
1719614218703,5080152
1719614218803,4304512
1719614218903,7777856
1719614219003,4752392
1719614219103,6231480
1719614219203,4758976
