Timestamp,RAM Usage (Bytes)
1719613716703,2831256
1719613716803,1838632
1719613716903,2749984
1719613717003,1530304
1719613717103,1530304
1719613717203,3068952
1719613717303,4738928
1719613717403,4522648
1719613717503,4756712
1719613717603,5418296
1719613717703,7100288
1719613717803,7101944
1719613717903,5435224
1719613718003,8227424
1719613718103,4338952
1719613718203,6448976
1719613718303,7100928
1719613718403,7226600
1719613718503,4256928
1719613718603,5924960
1719613718703,6436944
1719613718803,7599504
1719613718903,7101568
1719613719003,6448928
1719613719103,7226632
1719613719203,5433872
1719613719303,5765168
1719613719403,7097392
1719613719503,6152912
1719613719603,5062592
1719613719703,5629784
1719613719803,3950912
1719613719903,6022576
1719613720003,5185448
1719613720103,5786808
1719613720203,6592392
1719613720303,3887672
1719613720403,7059512
1719613720503,6823432
1719613720603,7290328
1719613720703,6751952
1719613720803,5116056
1719613720903,4951880
1719613721003,4769080
1719613721103,6107000
1719613721203,4925552
1719613721303,4561424
1719613721403,4929096
1719613721503,6673840
1719613721603,6011928
1719613721703,7188488
1719613721803,6768448
1719613721903,5731648
1719613722003,7205240
1719613722103,5978248
1719613722203,6155784
1719613722303,4688992
1719613722407,7295040
1719613722507,7502000
1719613722607,5754120
1719613722707,6182576
1719613722807,3422408
1719613722907,4651232
1719613723007,7627312
1719613723107,7629248
1719613723207,6801624
1719613723307,6920224
1719613723407,4534672
1719613723507,3352800
1719613723607,4529504
1719613723707,5057400
1719613723807,6401408
1719613723907,6320616
1719613724007,7038512
1719613724107,6924144
1719613724207,4391568
1719613724307,6288288
1719613724407,5762056
1719613724507,6922368
1719613724607,6134456
1719613724707,7442416
1719613724807,7486120
1719613724907,6262280
1719613725007,7033088
1719613725107,5371904
1719613725207,6561760
1719613725307,5407456
1719613725407,5873344
1719613725507,5278520
1719613725607,6085008
1719613725707,4596840
1719613725807,7134664
1719613725907,5631904
1719613726007,6838744
1719613726107,5978432
1719613726207,6891176
1719613726307,4038920
1719613726407,8127824
1719613726507,5610416
1719613726607,5059440
1719613726707,5010400
1719613726807,6958048
1719613726907,4922128
1719613727007,7129520
1719613727107,5676840
1719613727207,6181616
1719613727307,6560616
1719613727407,5735056
1719613727507,5849536
1719613727607,8602968
1719613727707,7132608
1719613727807,7229896
1719613727907,6721816
1719613728007,8098760
1719613728107,8625632
1719613728207,8116840
1719613728307,7529920
1719613728407,7610600
1719613728507,7622104
1719613728607,6548968
1719613728707,6006936
1719613728807,5102952
1719613728907,8685824
1719613729007,6076240
1719613729107,6632072
1719613729207,6820896
1719613729307,8647344
1719613729407,5092440
1719613729507,7200200
1719613729607,7653520
1719613729707,7799896
1719613729807,7424784
1719613729907,8815800
1719613730007,7726472
1719613730107,8426240
1719613730207,8012832
1719613730307,8521256
1719613730407,9054328
1719613730507,5440592
1719613730607,5302344
1719613730707,9879784
1719613730807,4799560
1719613730907,8358384
1719613731007,8027184
1719613731107,9365968
1719613731207,8306328
1719613731307,8710128
1719613731407,8157936
1719613731507,4899312
1719613731607,6948336
1719613731707,6271936
1719613731807,3980960
1719613731907,7498272
1719613732007,6165920
1719613732107,8685360
1719613732207,6219488
1719613732307,5332416
1719613732407,9329488
1719613732507,8381496
1719613732607,9477936
1719613732707,8727848
1719613732807,8997048
1719613732907,7697392
1719613733007,9462664
1719613733107,7347824
1719613733207,6189704
1719613733307,7483840
1719613733407,4886448
1719613733507,8972672
1719613733607,4903288
1719613733707,6547824
1719613733807,6747248
1719613733907,9354096
1719613734007,6642248
