Timestamp,RAM Usage (Bytes)
1719309147590,2181232
1719309147690,2234168
1719309147790,2234200
1719309147890,2843800
1719309147990,829448
1719309148090,2055064
1719309148190,1191320
1719309148290,3676208
1719309148390,3892368
1719309148490,4770936
1719309148590,3513904
1719309148690,5635576
1719309148790,5872760
1719309148890,3952488
1719309148990,5939232
1719309149090,4558992
1719309149190,4622528
1719309149290,5715992
1719309149390,7592880
1719309149490,6249584
1719309149590,5083560
1719309149690,6788856
1719309149790,7320104
1719309149894,5740952
1719309149994,7782160
1719309150094,6380368
1719309150194,4699944
1719309150294,8087016
1719309150394,5968000
1719309150494,5413176
1719309150594,5324608
1719309150694,7726816
1719309150794,8346248
1719309150894,5382816
1719309150994,7429976
1719309151094,7684208
1719309151194,6718976
1719309151294,5822072
1719309151394,5679712
1719309151494,5829144
1719309151594,7527408
1719309151694,8394240
1719309151794,7799760
1719309151894,4420248
1719309151994,6578208
1719309152094,7465120
1719309152194,6188392
1719309152294,7754968
1719309152394,9242240
1719309152494,8926208
1719309152594,6733528
1719309152694,8747072
1719309152794,5568832
1719309152894,7290232
1719309152994,5983784
1719309153094,6646376
1719309153194,6298400
1719309153294,8239856
1719309153394,6321376
1719309153494,5890304
1719309153594,6435976
1719309153694,7230240
1719309153794,8778240
1719309153894,5607432
1719309153994,9791112
1719309154094,8872400
1719309154194,6546712
1719309154294,5665376
1719309154394,9115952
1719309154494,6727488
1719309154594,10001072
1719309154694,7566672
1719309154794,5127008
1719309154894,9072080
1719309154994,6485064
1719309155094,9485712
1719309155194,10854936
1719309155294,4771976
1719309155394,5485296
1719309155494,6168992
1719309155594,7481024
1719309155694,7727408
1719309155794,6438512
1719309155894,9228856
