Timestamp,RAM Usage (Bytes)
1719922860731,3262936
1719922860831,2126656
1719922860931,3380528
1719922861031,3380592
1719922861131,623696
1719922861231,6715296
1719922861331,4447400
1719922861431,5593912
1719922861531,6202448
1719922861639,25830224
1719922861739,27253184
1719922861839,35096160
1719922861939,24443888
1719922862039,35405752
1719922862139,25140128
1719922862239,24040560
1719922862339,25356200
1719922862439,24665872
1719922862539,26404576
1719922862639,38229448
1719922862739,37598232
1719922862839,38175472
1719922862939,26046480
1719922863039,28129736
1719922863139,28784968
1719922863239,32220736
1719922863339,35231752
1719922863439,35003848
1719922863539,32163000
1719922863639,33599064
1719922863739,36296392
1719922863839,28325648
1719922863939,24433264
1719922864039,26099360
1719922864139,29022880
1719922864239,30381280
1719922864339,32965272
1719922864439,35775080
1719922864539,36694600
1719922864639,21367128
1719922864739,23407216
1719922864839,25793712
1719922864939,27561344
1719922865039,30175848
1719922865139,31084024
1719922865239,32216456
1719922865339,33734424
1719922865439,33982560
1719922865539,35094104
1719922865639,33367664
1719922865739,26558816
1719922865839,20862640
1719922865939,35530872
1719922866039,32440152
1719922866139,27226192
1719922866239,22394032
1719922866339,19230344
1719922866439,33935032
1719922866539,30629320
1719922866639,28842856
1719922866739,27974680
1719922866839,23954872
1719922866939,18966000
1719922867039,34641264
1719922867139,32612912
1719922867239,30265720
1719922867339,26962936
1719922867439,23384056
1719922867539,35971648
1719922867639,32413992
1719922867739,26805336
1719922867839,21265480
1719922867939,34683400
1719922868039,30518912
1719922868139,27085248
1719922868239,21951336
1719922868339,34328776
1719922868439,30048752
1719922868539,25318336
1719922868639,18347856
1719922868739,33792840
1719922868839,27168800
1719922868939,23030712
1719922869039,35369904
1719922869139,31940432
1719922869239,27114080
1719922869339,22753304
1719922869439,21451640
