Timestamp,RAM Usage (Bytes)
1719405775959,1064856
1719405776059,3016288
1719405776159,1480952
1719405776259,1481016
1719405776359,1516072
1719405776459,5066208
1719405776567,7507568
1719405776667,6730584
1719405776767,5940544
1719405776875,14681208
1719405776983,24374768
1719405777083,35702064
1719405777183,40269192
1719405777283,33088440
1719405777383,37342832
1719405777483,22755368
1719405777583,26459232
1719405777683,36056736
1719405777783,37213264
1719405777883,38091856
1719405777983,26864304
1719405778083,28114880
1719405778183,29096472
1719405778283,31172376
1719405778383,20915032
1719405778483,26086328
1719405778583,32874032
1719405778683,32515920
1719405778783,31904768
1719405778883,33773952
1719405778983,35826736
1719405779083,37304528
1719405779183,36102392
1719405779283,35135168
1719405779383,36452616
1719405779483,21564528
1719405779583,30767184
1719405779683,30775368
1719405779783,32954624
1719405779883,34063176
1719405779983,35365536
1719405780083,36796720
1719405780183,35502352
1719405780283,37972696
1719405780383,39051504
1719405780483,39291384
1719405780583,22173080
1719405780683,23809864
1719405780783,27080320
1719405780883,24086880
1719405780983,23222008
1719405781083,21449704
1719405781183,19747080
1719405781283,35975616
1719405781387,33512536
1719405781487,32068000
1719405781587,30100384
1719405781687,27412912
1719405781787,23801824
1719405781887,21614656
1719405781987,35405336
1719405782087,34517512
1719405782187,31040952
1719405782287,34149784
1719405782387,33833120
1719405782487,34275200
1719405782587,32208800
1719405782687,29635680
1719405782787,25398256
1719405782887,23257528
1719405782987,19816064
1719405783087,36087856
1719405783187,33245272
1719405783287,27874760
1719405783387,24277608
1719405783487,34115240
1719405783587,30167096
1719405783687,26447136
1719405783787,23947080
1719405783887,20014464
1719405783987,35465968
1719405784087,31694872
1719405784187,30047216
1719405784287,25424328
1719405784387,21607848
