Timestamp,RAM Usage (Bytes)
1719406440039,1162344
1719406440139,2787008
1719406440239,1055688
1719406440339,1055760
1719406440439,2503688
1719406440539,947888
1719406440639,4473984
1719406440739,8764696
1719406440839,12158224
1719406440939,14880912
1719406441039,12439744
1719406441139,17717136
1719406441239,12303872
1719406441339,11890328
1719406441439,15153176
1719406441539,12936568
1719406441639,16974120
1719406441739,13241304
1719406441839,10633248
1719406441939,17090744
1719406442039,14644392
1719406442139,10554088
1719406442239,15781272
1719406442339,11081960
1719406442439,16613456
1719406442539,11432616
1719406442639,10027176
1719406442739,13993760
1719406442839,9310224
1719406442939,16346192
1719406443039,16694232
1719406443139,11381584
1719406443239,15475432
1719406443339,15815800
1719406443439,10157040
1719406443539,16068824
1719406443639,11395952
1719406443739,12884032
1719406443839,10102056
1719406443939,16241000
1719406444039,11887152
1719406444139,16580104
1719406444239,15769840
1719406444339,11133232
1719406444439,17710320
1719406444539,14030472
1719406444639,12214224
1719406444739,14643072
1719406444839,12242376
1719406444939,15617704
1719406445039,14704640
1719406445139,10475728
1719406445239,15875816
1719406445339,14243712
1719406445439,9064648
1719406445539,10794344
1719406445639,14375600
1719406445739,9586168
1719406445839,11984856
1719406445939,13426424
1719406446039,8472568
1719406446143,13130536
1719406446243,13400568
1719406446343,12777736
1719406446443,10243368
1719406446543,9153528
1719406446643,14879632
1719406446743,10958520
1719406446843,14657192
1719406446943,14212800
1719406447043,15070480
1719406447143,13751840
1719406447243,10992040
1719406447343,12717912
1719406447443,8158248
1719406447543,10823016
1719406447643,11469720
1719406447743,10286240
1719406447843,9657120
1719406447943,10153848
1719406448043,9703776
1719406448143,12467656
1719406448243,13975520
1719406448343,10004520
1719406448443,14308280
1719406448543,9653352
1719406448643,9579880
1719406448743,12621344
1719406448843,8108000
1719406448943,12819920
1719406449043,8925600
1719406449143,13318584
1719406449243,10124240
1719406449343,14250088
1719406449443,10956544
1719406449543,8225160
1719406449643,13923224
1719406449743,13965296
1719406449843,9479048
1719406449943,11691896
1719406450043,14044720
1719406450143,9084856
1719406450243,9780112
1719406450343,12864064
1719406450443,14482576
1719406450543,11384528
1719406450643,12068712
1719406450743,13918832
1719406450843,8732352
1719406450943,9279952
1719406451043,11583280
1719406451143,11644368
1719406451243,14813368
1719406451343,8973088
1719406451443,13137408
1719406451543,10353112
1719406451643,9108112
1719406451743,12084544
1719406451843,13237408
1719406451943,13213544
1719406452043,13814632
1719406452143,9450872
1719406452243,8758216
1719406452343,5496312
1719406452443,9629208
1719406452543,7163488
1719406452643,5538272
1719406452743,8909912
1719406452843,4804120
1719406452943,5768144
1719406453043,10116256
1719406453143,7652432
1719406453243,10105960
1719406453343,2687376
1719406453443,7158624
1719406453543,10148904
1719406453643,7207528
1719406453743,6385544
1719406453843,9527464
1719406453943,9835088
1719406454043,6716624
1719406454143,8486448
1719406454243,10111672
1719406454343,7804216
1719406454443,5549816
1719406454543,10120344
1719406454643,4660752
1719406454743,5345368
1719406454843,8502496
1719406454943,8734872
1719406455043,6336760
1719406455143,7814232
1719406455243,8501384
1719406455343,7493080
1719406455443,9160912
1719406455543,9487352
1719406455643,6027656
1719406455743,6666120
