Timestamp,RAM Usage (Bytes)
1719311919300,9151976
1719311919400,9190800
1719311919504,9190832
1719311919604,2415528
1719311919704,3564704
1719311919804,2720776
1719311919904,2209448
1719311920004,2278472
1719311920104,18945376
1719311920204,25260672
1719311920304,24580568
1719311920404,18455992
1719311920504,28378416
1719311920604,34156544
1719311920704,20134216
1719311920804,25526024
1719311920904,26062720
1719311921004,25943176
1719311921104,25739560
1719311921204,25084240
1719311921304,23659792
1719311921404,23529288
1719311921504,23725440
1719311921604,23701568
1719311921704,21737888
1719311921804,23650048
1719311921904,24133904
1719311922004,14697696
1719311922104,18332832
1719311922204,17823232
1719311922304,15786056
1719311922404,12374552
1719311922504,11759840
1719311922604,12453584
1719311922704,6994616
1719311922804,13952096
1719311922904,21570560
1719311923004,18134520
1719311923104,11812088
1719311923204,19376216
1719311923304,13141440
1719311923404,20093976
1719311923504,12069440
1719311923604,15213696
1719311923704,9399624
1719311923804,12558392
1719311923904,12502088
1719311924004,12248144
1719311924104,12214480
1719311924228,5830136
1719311924328,8952744
1719311924428,12807912
1719311924528,15568624
1719311924628,15463568
1719311924728,16267760
1719311924828,15099344
1719311924928,14721432
1719311925028,12591144
1719311925128,14695312
1719311925228,11810936
1719311925328,9662048
1719311925428,8866840
1719311925528,16197192
1719311925628,14707664
1719311925728,13774272
1719311925828,11755280
1719311925932,4363992
1719311926032,9050488
1719311926132,9611616
1719311926232,10971208
1719311926332,11335280
