Timestamp,RAM Usage (Bytes)
1719405659995,3207688
1719405660095,1200944
1719405660195,1206552
1719405660299,1206624
1719405660399,886072
1719405660499,8622064
1719405660599,4964344
1719405660699,7512784
1719405660799,7480768
1719405660915,18060800
1719405661047,18275696
1719405661147,27804016
1719405661247,41089648
1719405661347,37252256
1719405661447,38053376
1719405661547,39342536
1719405661647,26620304
1719405661747,29960464
1719405661847,31209536
1719405661947,31821448
1719405662047,31711816
1719405662147,34353936
1719405662247,38982896
1719405662347,38635008
1719405662447,38625184
1719405662547,40013936
1719405662647,39420136
1719405662747,23805064
1719405662847,27888056
1719405662947,30424368
1719405663047,37007760
1719405663147,36525792
1719405663247,38648264
1719405663347,27870560
1719405663447,36013376
1719405663547,37484128
1719405663647,39221112
1719405663747,38134208
1719405663847,25972768
1719405663947,33677880
1719405664047,24152136
1719405664147,29801304
1719405664247,31986840
1719405664347,32394664
1719405664447,32541728
1719405664547,33995552
1719405664647,33762472
1719405664747,34894120
1719405664847,35020368
1719405664947,28558352
1719405665047,26385880
1719405665147,23925816
1719405665247,20405848
1719405665347,36426784
1719405665447,33657576
1719405665547,30299856
1719405665647,27389024
1719405665747,23280056
1719405665847,20017160
1719405665947,18206048
1719405666047,35020912
1719405666147,34547896
1719405666247,32117976
1719405666347,30684704
1719405666447,25038896
1719405666547,21861168
1719405666647,20474776
1719405666747,22349856
1719405666847,24769712
1719405666947,22119800
1719405667047,18583936
1719405667147,34743720
1719405667247,31472704
1719405667347,27405400
1719405667447,24803560
1719405667547,22362136
1719405667647,36359576
1719405667747,34221208
1719405667847,30537592
1719405667947,27127752
1719405668047,23555152
1719405668147,32845360
1719405668247,34145224
1719405668347,29720192
1719405668447,27512656
