Timestamp,RAM Usage (Bytes)
1719406841518,740432
1719406841618,2587264
1719406841718,3562152
1719406841818,2415448
1719406841918,2433200
1719406842018,852392
1719406842118,6704752
1719406842226,12984888
1719406842326,25971072
1719406842426,29222040
1719406842526,37108528
1719406842626,39870336
1719406842726,44322032
1719406842826,33018312
1719406842926,32718808
1719406843026,31072800
1719406843126,35219600
1719406843226,31712032
1719406843326,25836040
1719406843426,46575976
1719406843526,39391784
1719406843626,40551728
1719406843726,39941344
1719406843826,35001728
1719406843926,34982040
1719406844026,34320200
1719406844126,27210832
1719406844226,32834032
1719406844326,24780968
1719406844426,26881560
1719406844526,31177112
1719406844626,28134920
1719406844726,45910120
1719406844826,46309344
1719406844926,45459888
1719406845026,38720248
1719406845126,33675792
1719406845226,37514552
1719406845326,42768872
1719406845426,39507568
1719406845526,36583424
1719406845626,33288776
1719406845726,28921000
1719406845826,47064024
1719406845926,40632544
1719406846026,33126240
1719406846126,28125416
1719406846226,45951376
1719406846326,38422992
1719406846426,30014608
1719406846526,26945928
1719406846626,43874896
1719406846726,42380656
1719406846826,24531336
1719406846926,24886576
1719406847026,43054880
1719406847126,44473560
1719406847226,25979008
1719406847326,44033152
1719406847426,43502344
1719406847526,41179160
1719406847626,36741360
1719406847726,32925808
1719406847826,28550840
1719406847926,28519872
1719406848026,28699712
1719406848126,23292248
1719406848226,42759664
1719406848326,38357216
1719406848426,37104600
1719406848526,38726464
1719406848626,41357048
1719406848726,40846248
1719406848826,38829984
1719406848926,35972448
1719406849026,31535016
1719406849126,32459224
1719406849226,26780608
1719406849326,22613760
1719406849426,26353208
1719406849526,26486160
1719406849626,26546240
1719406849726,45432784
1719406849826,39647472
1719406849926,41322208
1719406850026,37987648
1719406850126,31811128
1719406850226,22979600
1719406850326,41994704
1719406850426,37350880
1719406850526,37817320
1719406850626,34587472
1719406850726,24934720
1719406850826,19027456
1719406850926,28537712
1719406851026,21417488
1719406851126,17438224
1719406851226,26662272
1719406851326,20261976
1719406851426,16962392
1719406851526,24451872
1719406851626,28792944
1719406851726,23926760
1719406851826,28683544
1719406851926,22769704
1719406852026,24611632
1719406852126,19327048
1719406852226,28469536
1719406852326,22894168
1719406852426,15454816
1719406852526,22857280
1719406852626,15572672
1719406852726,23769144
1719406852826,29637752
1719406852926,21221992
1719406853026,17715016
1719406853126,24221432
1719406853226,20767480
1719406853326,23998224
1719406853426,21317536
1719406853526,17761992
1719406853626,26817656
1719406853726,21461080
1719406853826,26743296
1719406853926,20669328
1719406854026,28071888
1719406854126,21538208
1719406854226,28397624
1719406854326,19261048
1719406854426,28713408
1719406854526,23652976
1719406854626,29784832
1719406854726,21983192
1719406854826,28092272
1719406854926,21218064
1719406855026,27877184
1719406855126,19876120
1719406855226,17315152
1719406855326,27146560
1719406855426,19940072
1719406855526,29285008
1719406855626,23552768
1719406855726,29316040
